Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments,SORT.A,SORT.B
36,B12,Sample_89,"""RGB(255,0,34)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,71,71
36,B12,Sample_89,"""RGB(255,0,34)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,72,72
37,B13,Sample_01,"""RGB(255,0,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,73,73
37,B13,Sample_01,"""RGB(255,0,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,74,74
38,B14,Sample_09,"""RGB(255,136,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,75,75
38,B14,Sample_09,"""RGB(255,136,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,76,76
39,B15,Sample_17,"""RGB(238,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,77,77
39,B15,Sample_17,"""RGB(238,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,78,78
40,B16,Sample_25,"""RGB(102,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,79,79
40,B16,Sample_25,"""RGB(102,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,80,80
41,B17,Sample_33,"""RGB(0,255,34)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,81,81
41,B17,Sample_33,"""RGB(0,255,34)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,82,82
42,B18,Sample_41,"""RGB(0,255,170)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,83,83
42,B18,Sample_41,"""RGB(0,255,170)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,84,84
43,B19,Sample_49,"""RGB(0,204,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,85,85
43,B19,Sample_49,"""RGB(0,204,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,86,86
44,B20,Sample_57,"""RGB(0,68,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,87,87
44,B20,Sample_57,"""RGB(0,68,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,88,88
45,B21,Sample_65,"""RGB(68,0,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,89,89
45,B21,Sample_65,"""RGB(68,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,90,90
46,B22,Sample_73,"""RGB(204,0,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,91,91
46,B22,Sample_73,"""RGB(204,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,92,92
47,B23,Sample_81,"""RGB(255,0,170)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,93,93
47,B23,Sample_81,"""RGB(255,0,170)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,94,94
48,B24,Sample_89,"""RGB(255,0,34)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,95,95
48,B24,Sample_89,"""RGB(255,0,34)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,96,96
49,C1,Sample_02,"""RGB(255,17,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,97,97
49,C1,Sample_02,"""RGB(255,17,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,98,98
50,C2,Sample_10,"""RGB(255,153,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,99,99
50,C2,Sample_10,"""RGB(255,153,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,100,100
51,C3,Sample_18,"""RGB(221,255,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,101,101
51,C3,Sample_18,"""RGB(221,255,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,102,102
52,C4,Sample_26,"""RGB(85,255,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,103,103
52,C4,Sample_26,"""RGB(85,255,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,104,104
53,C5,Sample_34,"""RGB(0,255,51)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,105,105
53,C5,Sample_34,"""RGB(0,255,51)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,106,106
54,C6,Sample_42,"""RGB(0,255,187)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,107,107
54,C6,Sample_42,"""RGB(0,255,187)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,108,108
55,C7,Sample_50,"""RGB(0,187,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,109,109
55,C7,Sample_50,"""RGB(0,187,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,110,110
56,C8,Sample_58,"""RGB(0,51,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,111,111
56,C8,Sample_58,"""RGB(0,51,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,112,112
57,C9,Sample_66,"""RGB(85,0,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,113,113
57,C9,Sample_66,"""RGB(85,0,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,114,114
58,C10,Sample_74,"""RGB(221,0,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,115,115
58,C10,Sample_74,"""RGB(221,0,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,116,116
59,C11,Sample_82,"""RGB(255,0,153)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,117,117
59,C11,Sample_82,"""RGB(255,0,153)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,118,118
60,C12,Sample_90,"""RGB(255,0,17)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,119,119
60,C12,Sample_90,"""RGB(255,0,17)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,120,120
61,C13,Sample_02,"""RGB(255,17,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,121,121
61,C13,Sample_02,"""RGB(255,17,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,122,122
62,C14,Sample_10,"""RGB(255,153,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,123,123
62,C14,Sample_10,"""RGB(255,153,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,124,124
63,C15,Sample_18,"""RGB(221,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,125,125
63,C15,Sample_18,"""RGB(221,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,126,126
64,C16,Sample_26,"""RGB(85,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,127,127
64,C16,Sample_26,"""RGB(85,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,128,128
65,C17,Sample_34,"""RGB(0,255,51)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,129,129
65,C17,Sample_34,"""RGB(0,255,51)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,130,130
66,C18,Sample_42,"""RGB(0,255,187)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,131,131
66,C18,Sample_42,"""RGB(0,255,187)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,132,132
67,C19,Sample_50,"""RGB(0,187,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,133,133
67,C19,Sample_50,"""RGB(0,187,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,134,134
68,C20,Sample_58,"""RGB(0,51,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,135,135
68,C20,Sample_58,"""RGB(0,51,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,136,136
69,C21,Sample_66,"""RGB(85,0,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,137,137
69,C21,Sample_66,"""RGB(85,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,138,138
70,C22,Sample_74,"""RGB(221,0,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,139,139
70,C22,Sample_74,"""RGB(221,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,140,140
71,C23,Sample_82,"""RGB(255,0,153)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,141,141
71,C23,Sample_82,"""RGB(255,0,153)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,142,142
72,C24,Sample_90,"""RGB(255,0,17)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,143,143
72,C24,Sample_90,"""RGB(255,0,17)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,144,144
73,D1,Sample_02,"""RGB(255,17,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,145,145
